PracticeCode,Sex,AgeGroup,Count
10002,Male,Ages0to4,173.0
10002,Female,Ages0to4,172.0
10002,All,Ages0to4,345.0
10017,Male,Ages0to4,136.0
10017,Female,Ages0to4,119.0
10017,All,Ages0to4,255.0
10036,Male,Ages0to4,96.0
10036,Female,Ages0to4,56.0
10036,All,Ages0to4,152.0
10106,Male,Ages0to4,96.0
10106,Female,Ages0to4,78.0
10106,All,Ages0to4,174.0
10125,Male,Ages0to4,82.0
10125,Female,Ages0to4,58.0
10125,All,Ages0to4,140.0
10182,Male,Ages0to4,185.0
10182,Female,Ages0to4,179.0
10182,All,Ages0to4,364.0
10233,Male,Ages0to4,140.0
10233,Female,Ages0to4,149.0
10233,All,Ages0to4,289.0
10286,Male,Ages0to4,132.0
10286,Female,Ages0to4,110.0
10286,All,Ages0to4,242.0
10322,Male,Ages0to4,190.0
10322,Female,Ages0to4,181.0
10322,All,Ages0to4,371.0
10361,Male,Ages0to4,219.0
10361,Female,Ages0to4,190.0
10361,All,Ages0to4,409.0
10407,Male,Ages0to4,131.0
10407,Female,Ages0to4,130.0
10407,All,Ages0to4,261.0
10445,Male,Ages0to4,80.0
10445,Female,Ages0to4,90.0
10445,All,Ages0to4,170.0
10498,Male,Ages0to4,173.0
10498,Female,Ages0to4,151.0
10498,All,Ages0to4,324.0
10638,Male,Ages0to4,187.0
10638,Female,Ages0to4,220.0
10638,All,Ages0to4,407.0
10708,Male,Ages0to4,31.0
10708,Female,Ages0to4,43.0
10708,All,Ages0to4,74.0
10746,Male,Ages0to4,109.0
10746,Female,Ages0to4,122.0
10746,All,Ages0to4,231.0
10835,Male,Ages0to4,62.0
10835,Female,Ages0to4,79.0
10835,All,Ages0to4,141.0
11058,Male,Ages0to4,125.0
11058,Female,Ages0to4,101.0
11058,All,Ages0to4,226.0
11096,Male,Ages0to4,110.0
11096,Female,Ages0to4,93.0
11096,All,Ages0to4,203.0
11128,Male,Ages0to4,213.0
11128,Female,Ages0to4,202.0
11128,All,Ages0to4,415.0
11166,Male,Ages0to4,240.0
11166,Female,Ages0to4,245.0
11166,All,Ages0to4,485.0
11171,Male,Ages0to4,276.0
11171,Female,Ages0to4,265.0
11171,All,Ages0to4,541.0
11221,Male,Ages0to4,261.0
11221,Female,Ages0to4,257.0
11221,All,Ages0to4,518.0
11289,Male,Ages0to4,218.0
11289,Female,Ages0to4,213.0
11289,All,Ages0to4,431.0
11306,Male,Ages0to4,121.0
11306,Female,Ages0to4,136.0
11306,All,Ages0to4,257.0
11363,Male,Ages0to4,185.0
11363,Female,Ages0to4,149.0
11363,All,Ages0to4,334.0
11382,Male,Ages0to4,209.0
11382,Female,Ages0to4,177.0
11382,All,Ages0to4,386.0
11486,Male,Ages0to4,180.0
11486,Female,Ages0to4,175.0
11486,All,Ages0to4,355.0
11645,Male,Ages0to4,200.0
11645,Female,Ages0to4,179.0
11645,All,Ages0to4,379.0
11650,Male,Ages0to4,178.0
11650,Female,Ages0to4,169.0
11650,All,Ages0to4,347.0
11823,Male,Ages0to4,202.0
11823,Female,Ages0to4,196.0
11823,All,Ages0to4,398.0
11861,Male,Ages0to4,172.0
11861,Female,Ages0to4,163.0
11861,All,Ages0to4,335.0
11931,Male,Ages0to4,104.0
11931,Female,Ages0to4,116.0
11931,All,Ages0to4,220.0
12210,Male,Ages0to4,122.0
12210,Female,Ages0to4,129.0
12210,All,Ages0to4,251.0
12281,Male,Ages0to4,124.0
12281,Female,Ages0to4,106.0
12281,All,Ages0to4,230.0
12831,Male,Ages0to4,141.0
12831,Female,Ages0to4,134.0
12831,All,Ages0to4,275.0
13049,Male,Ages0to4,93.0
13049,Female,Ages0to4,79.0
13049,All,Ages0to4,172.0
13091,Male,Ages0to4,48.0
13091,Female,Ages0to4,53.0
13091,All,Ages0to4,101.0
13142,Male,Ages0to4,96.0
13142,Female,Ages0to4,95.0
13142,All,Ages0to4,191.0
13195,Male,Ages0to4,91.0
13195,Female,Ages0to4,88.0
13195,All,Ages0to4,179.0
13231,Male,Ages0to4,133.0
13231,Female,Ages0to4,143.0
13231,All,Ages0to4,276.0
13284,Male,Ages0to4,179.0
13284,Female,Ages0to4,171.0
13284,All,Ages0to4,350.0
13481,Male,Ages0to4,160.0
13481,Female,Ages0to4,172.0
13481,All,Ages0to4,332.0
13496,Male,Ages0to4,137.0
13496,Female,Ages0to4,123.0
13496,All,Ages0to4,260.0
13532,Male,Ages0to4,169.0
13532,Female,Ages0to4,168.0
13532,All,Ages0to4,337.0
13571,Male,Ages0to4,240.0
13571,Female,Ages0to4,228.0
13571,All,Ages0to4,468.0
13621,Male,Ages0to4,137.0
13621,Female,Ages0to4,154.0
13621,All,Ages0to4,291.0
13660,Male,Ages0to4,89.0
13660,Female,Ages0to4,100.0
13660,All,Ages0to4,189.0
13706,Male,Ages0to4,97.0
13706,Female,Ages0to4,94.0
13706,All,Ages0to4,191.0
13848,Male,Ages0to4,112.0
13848,Female,Ages0to4,105.0
13848,All,Ages0to4,217.0
13891,Male,Ages0to4,219.0
13891,Female,Ages0to4,195.0
13891,All,Ages0to4,414.0
13941,Male,Ages0to4,232.0
13941,Female,Ages0to4,218.0
13941,All,Ages0to4,450.0
13975,Male,Ages0to4,81.0
13975,Female,Ages0to4,79.0
13975,All,Ages0to4,160.0
14037,Male,Ages0to4,327.0
14037,Female,Ages0to4,278.0
14037,All,Ages0to4,605.0
14249,Male,Ages0to4,148.0
14249,Female,Ages0to4,179.0
14249,All,Ages0to4,327.0
14291,Male,Ages0to4,181.0
14291,Female,Ages0to4,182.0
14291,All,Ages0to4,363.0
14342,Male,Ages0to4,140.0
14342,Female,Ages0to4,138.0
14342,All,Ages0to4,278.0
14501,Male,Ages0to4,75.0
14501,Female,Ages0to4,59.0
14501,All,Ages0to4,134.0
14569,Male,Ages0to4,97.0
14569,Female,Ages0to4,84.0
14569,All,Ages0to4,181.0
16013,Male,Ages0to4,60.0
16013,Female,Ages0to4,65.0
16013,All,Ages0to4,125.0
16032,Male,Ages0to4,126.0
16032,Female,Ages0to4,140.0
16032,All,Ages0to4,266.0
16047,Male,Ages0to4,22.0
16047,Female,Ages0to4,14.0
16047,All,Ages0to4,36.0
