Geography,Age_Group,Disease,Average_Prevalence,Max_Prevalence,2018,2019,2020,2021,2022,2023
Aberdeen City,Ages0to4,Asthma,178.63333333333333,262.4,209.0,262.4,222.4,66.7,133.4,177.9
Aberdeen City,Ages0to4,Atrial Fibrillation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Cancer,7.3999999999999995,22.2,0.0,0.0,0.0,22.2,0.0,22.2
Aberdeen City,Ages0to4,Chronic Kidney Disease (CKD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Chronic Obstructive Pulmonary Disease (COPD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Coronary Heart Disease (CHD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Dementia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Depression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Diabetes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Eating Disorder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Epilepsy,22.233333333333334,44.5,0.0,0.0,22.2,22.2,44.5,44.5
Aberdeen City,Ages0to4,Heart Failure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Hypertension,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Mental Health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Osteoporosis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Palliative Care,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Peripheral Arterial Disease (PAD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Rheumatoid Arthritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Stroke and TIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages15to24,Asthma,1586.2,1794.2,1794.2,1653.8,1750.6,1539.9,1405.7,1373.0
Aberdeen City,Ages15to24,Atrial Fibrillation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages15to24,Cancer,26.0,39.0,23.4,23.4,39.0,31.2,23.4,15.6
Aberdeen City,Ages15to24,Chronic Kidney Disease (CKD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages15to24,Chronic Obstructive Pulmonary Disease (COPD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages15to24,Coronary Heart Disease (CHD),1.3,7.8,0.0,0.0,0.0,0.0,0.0,7.8
Aberdeen City,Ages15to24,Dementia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages15to24,Depression,927.3000000000001,1110.9,1110.9,1025.1,926.8,895.6,884.6,720.8
Aberdeen City,Ages15to24,Diabetes,199.41666666666666,221.5,218.4,187.2,171.6,202.8,195.0,221.5
Aberdeen City,Ages15to24,Eating Disorder,269.09999999999997,335.4,226.2,249.6,265.2,257.4,335.4,280.8
Aberdeen City,Ages15to24,Epilepsy,318.49999999999994,335.4,335.4,335.4,319.8,288.6,312.0,319.8
Aberdeen City,Ages15to24,Heart Failure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages15to24,Hypertension,19.5,23.4,23.4,23.4,15.6,7.8,23.4,23.4
Aberdeen City,Ages15to24,Mental Health,91.0,109.2,85.8,85.8,93.6,85.8,109.2,85.8
Aberdeen City,Ages15to24,Osteoporosis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages15to24,Palliative Care,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages15to24,Peripheral Arterial Disease (PAD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages15to24,Rheumatoid Arthritis,1.3,7.8,0.0,0.0,0.0,7.8,0.0,0.0
Aberdeen City,Ages15to24,Stroke and TIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages25to44,Asthma,1740.75,1844.7,1697.7,1696.6,1844.7,1773.7,1703.2,1728.6
Aberdeen City,Ages25to44,Atrial Fibrillation,9.016666666666666,16.3,8.1,5.4,2.7,10.8,16.3,10.8
Aberdeen City,Ages25to44,Cancer,189.85,206.1,173.6,173.6,187.1,200.7,198.0,206.1
Aberdeen City,Ages25to44,Chronic Kidney Disease (CKD),22.166666666666668,35.3,16.3,21.7,21.7,21.7,16.3,35.3
Aberdeen City,Ages25to44,Chronic Obstructive Pulmonary Disease (COPD),14.483333333333334,19.0,13.6,8.1,16.3,13.6,16.3,19.0
Aberdeen City,Ages25to44,Coronary Heart Disease (CHD),23.950000000000003,29.8,21.7,24.4,21.7,27.1,19.0,29.8
Aberdeen City,Ages25to44,Dementia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages25to44,Depression,2389.8333333333335,2410.4,2394.7,2391.5,2410.4,2396.3,2377.4,2368.7
Aberdeen City,Ages25to44,Diabetes,413.5833333333333,489.8,381.9,376.4,387.8,416.6,429.0,489.8
Aberdeen City,Ages25to44,Eating Disorder,251.48333333333335,271.2,246.3,248.4,243.5,247.3,252.2,271.2
Aberdeen City,Ages25to44,Epilepsy,406.18333333333334,422.0,393.8,398.7,404.1,398.7,422.0,419.8
Aberdeen City,Ages25to44,Heart Failure,4.5,8.1,2.7,2.7,2.7,5.4,8.1,5.4
Aberdeen City,Ages25to44,Hypertension,503.6333333333334,581.5,455.1,474.1,492.5,496.3,522.3,581.5
Aberdeen City,Ages25to44,Mental Health,249.88333333333335,287.5,233.2,238.7,246.8,238.7,254.4,287.5
Aberdeen City,Ages25to44,Osteoporosis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages25to44,Palliative Care,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages25to44,Peripheral Arterial Disease (PAD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages25to44,Rheumatoid Arthritis,28.933333333333334,46.1,13.6,19.0,24.4,40.7,29.8,46.1
Aberdeen City,Ages25to44,Stroke and TIA,23.5,27.1,24.4,27.1,24.4,24.4,19.0,21.7
Aberdeen City,Ages45to64,Asthma,2521.9833333333336,2601.0,2407.8,2455.3,2601.0,2571.3,2502.2,2594.3
Aberdeen City,Ages45to64,Atrial Fibrillation,294.15,327.0,271.2,286.1,282.4,282.4,315.8,327.0
Aberdeen City,Ages45to64,Cancer,1242.8,1276.0,1185.3,1221.0,1276.0,1255.2,1257.4,1261.9
Aberdeen City,Ages45to64,Chronic Kidney Disease (CKD),366.6166666666666,396.8,356.0,377.5,367.1,357.5,344.8,396.8
Aberdeen City,Ages45to64,Chronic Obstructive Pulmonary Disease (COPD),726.8000000000001,779.6,706.0,746.9,779.6,737.2,701.5,689.6
Aberdeen City,Ages45to64,Coronary Heart Disease (CHD),984.0500000000001,1012.2,945.3,961.6,985.4,1012.2,1004.0,995.8
Aberdeen City,Ages45to64,Dementia,13.616666666666667,22.3,14.9,11.1,7.4,22.3,11.1,14.9
Aberdeen City,Ages45to64,Depression,3517.0333333333333,3624.3,3339.7,3474.9,3535.1,3555.2,3624.3,3573.0
Aberdeen City,Ages45to64,Diabetes,2152.383333333333,2353.5,1992.4,2039.2,2120.2,2157.3,2251.7,2353.5
Aberdeen City,Ages45to64,Eating Disorder,223.29999999999998,237.8,193.2,215.5,234.8,223.7,234.8,237.8
