Date,PracticeCode,HB,HSCP,Sex,SexQF,AllAges,AllAgesQF,Ages0to4,Ages0To4QF,Ages5to14,Ages5To14QF,Ages15to24,Ages15To24QF,Ages25to44,Ages25To44QF,Ages45to64,Ages45To64QF,Ages65to74,Ages65To74QF,Ages75to84,Ages75To84QF,Ages85plus,Ages85PlusQF
20241001,10002,S08000030,S37000007,Male,,4109,,173,,466,,421,,943,,1170,,510,,327,,99,
20241001,10002,S08000030,S37000007,Female,,4221,,172,,394,,420,,975,,1262,,547,,352,,99,
20241001,10002,S08000030,S37000007,All,d,8330,,345,,860,,841,,1918,,2432,,1057,,679,,198,
20241001,10017,S08000030,S37000033,Male,,3742,,136,,401,,541,,810,,998,,419,,322,,115,
20241001,10017,S08000030,S37000033,Female,,3721,,119,,359,,493,,803,,964,,456,,348,,179,
20241001,10017,S08000030,S37000033,All,d,7463,,255,,760,,1034,,1613,,1962,,875,,670,,294,
20241001,10036,S08000030,S37000033,Male,,2452,,96,,209,,253,,518,,739,,339,,229,,69,
20241001,10036,S08000030,S37000033,Female,,2412,,56,,203,,198,,493,,742,,355,,256,,109,
20241001,10036,S08000030,S37000033,All,d,4864,,152,,412,,451,,1011,,1481,,694,,485,,178,
20241001,10106,S08000030,S37000007,Male,,3106,,96,,307,,336,,618,,870,,401,,346,,132,
20241001,10106,S08000030,S37000007,Female,,3350,,78,,270,,313,,642,,915,,459,,429,,244,
20241001,10106,S08000030,S37000007,All,d,6456,,174,,577,,649,,1260,,1785,,860,,775,,376,
20241001,10125,S08000030,S37000033,Male,,2261,,82,,178,,205,,450,,667,,396,,228,,55,
20241001,10125,S08000030,S37000033,Female,,2371,,58,,189,,181,,479,,704,,401,,260,,99,
20241001,10125,S08000030,S37000033,All,d,4632,,140,,367,,386,,929,,1371,,797,,488,,154,
20241001,10182,S08000030,S37000003,Male,,4815,,185,,470,,548,,1245,,1331,,548,,375,,113,
20241001,10182,S08000030,S37000003,Female,,4938,,179,,457,,499,,1155,,1332,,615,,507,,194,
20241001,10182,S08000030,S37000003,All,d,9753,,364,,927,,1047,,2400,,2663,,1163,,882,,307,
20241001,10233,S08000030,S37000003,Male,,3496,,140,,396,,383,,913,,973,,374,,243,,74,
20241001,10233,S08000030,S37000003,Female,,3551,,149,,392,,394,,946,,912,,369,,290,,99,
20241001,10233,S08000030,S37000003,All,d,7047,,289,,788,,777,,1859,,1885,,743,,533,,173,
20241001,10286,S08000030,S37000003,Male,,2519,,132,,285,,295,,670,,662,,276,,156,,43,
20241001,10286,S08000030,S37000003,Female,,2608,,110,,275,,311,,653,,683,,293,,197,,86,
20241001,10286,S08000030,S37000003,All,d,5127,,242,,560,,606,,1323,,1345,,569,,353,,129,
20241001,10322,S08000030,S37000003,Male,,4283,,190,,477,,451,,1157,,1112,,492,,318,,86,
20241001,10322,S08000030,S37000003,Female,,4358,,181,,463,,423,,1143,,1152,,505,,361,,130,
20241001,10322,S08000030,S37000003,All,d,8641,,371,,940,,874,,2300,,2264,,997,,679,,216,
20241001,10361,S08000030,S37000033,Male,,5446,,219,,571,,580,,1266,,1513,,689,,440,,168,
20241001,10361,S08000030,S37000033,Female,,5502,,190,,517,,538,,1223,,1630,,725,,471,,208,
20241001,10361,S08000030,S37000033,All,d,10948,,409,,1088,,1118,,2489,,3143,,1414,,911,,376,
20241001,10407,S08000030,S37000033,Male,,3841,,131,,381,,366,,850,,962,,575,,440,,136,
20241001,10407,S08000030,S37000033,Female,,4064,,130,,352,,339,,824,,1058,,622,,517,,222,
20241001,10407,S08000030,S37000033,All,d,7905,,261,,733,,705,,1674,,2020,,1197,,957,,358,
20241001,10445,S08000030,S37000033,Male,,1961,,80,,208,,165,,518,,509,,277,,149,,55,
20241001,10445,S08000030,S37000033,Female,,1970,,90,,195,,137,,515,,513,,276,,153,,91,
20241001,10445,S08000030,S37000033,All,d,3931,,170,,403,,302,,1033,,1022,,553,,302,,146,
20241001,10498,S08000030,S37000003,Male,,4320,,173,,435,,485,,1075,,1207,,532,,308,,105,
20241001,10498,S08000030,S37000003,Female,,4263,,151,,452,,439,,998,,1162,,523,,362,,176,
20241001,10498,S08000030,S37000003,All,d,8583,,324,,887,,924,,2073,,2369,,1055,,670,,281,
20241001,10638,S08000030,S37000003,Male,,6419,,187,,655,,703,,1451,,1775,,850,,619,,179,
20241001,10638,S08000030,S37000003,Female,,6849,,220,,642,,662,,1488,,1931,,945,,732,,229,
20241001,10638,S08000030,S37000003,All,d,13268,,407,,1297,,1365,,2939,,3706,,1795,,1351,,408,
20241001,10708,S08000030,S37000033,Male,,1317,,31,,123,,112,,224,,378,,233,,155,,61,
20241001,10708,S08000030,S37000033,Female,,1399,,43,,103,,99,,216,,415,,208,,214,,101,
20241001,10708,S08000030,S37000033,All,d,2716,,74,,226,,211,,440,,793,,441,,369,,162,
20241001,10746,S08000030,S37000033,Male,,3089,,109,,288,,310,,745,,862,,424,,268,,83,
20241001,10746,S08000030,S37000033,Female,,3102,,122,,294,,284,,718,,874,,439,,263,,108,
20241001,10746,S08000030,S37000033,All,d,6191,,231,,582,,594,,1463,,1736,,863,,531,,191,
20241001,10835,S08000030,S37000033,Male,,1963,,62,,223,,203,,480,,546,,224,,175,,50,
20241001,10835,S08000030,S37000033,Female,,2051,,79,,214,,188,,423,,598,,263,,192,,94,
20241001,10835,S08000030,S37000033,All,d,4014,,141,,437,,391,,903,,1144,,487,,367,,144,
20241001,11058,S08000030,S37000007,Male,,5571,,125,,308,,1131,,2429,,978,,351,,203,,46,
20241001,11058,S08000030,S37000007,Female,,5634,,101,,272,,1574,,2243,,785,,337,,242,,80,
20241001,11058,S08000030,S37000007,All,d,11205,,226,,580,,2705,,4672,,1763,,688,,445,,126,
20241001,11096,S08000030,S37000007,Male,,2573,,110,,290,,269,,739,,685,,286,,145,,49,
20241001,11096,S08000030,S37000007,Female,,2556,,93,,279,,298,,758,,594,,270,,183,,81,
20241001,11096,S08000030,S37000007,All,d,5129,,203,,569,,567,,1497,,1279,,556,,328,,130,
20241001,11128,S08000030,S37000007,Male,,4672,,213,,529,,580,,1381,,1218,,420,,264,,67,
20241001,11128,S08000030,S37000007,Female,,4762,,202,,497,,505,,1344,,1262,,482,,343,,127,
20241001,11128,S08000030,S37000007,All,d,9434,,415,,1026,,1085,,2725,,2480,,902,,607,,194,
20241001,11166,S08000030,S37000007,Male,,5083,,240,,516,,538,,1582,,1354,,515,,282,,56,
20241001,11166,S08000030,S37000007,Female,,5071,,245,,524,,546,,1497,,1235,,547,,349,,128,
20241001,11166,S08000030,S37000007,All,d,10154,,485,,1040,,1084,,3079,,2589,,1062,,631,,184,
20241001,11171,S08000030,S37000007,Male,,6396,,276,,724,,699,,1985,,1581,,640,,363,,128,
20241001,11171,S08000030,S37000007,Female,,6798,,265,,697,,695,,2046,,1698,,665,,486,,246,
20241001,11171,S08000030,S37000007,All,d,13194,,541,,1421,,1394,,4031,,3279,,1305,,849,,374,
20241001,11221,S08000030,S37000007,Male,,3060,,261,,539,,344,,1036,,582,,163,,109,,26,
20241001,11221,S08000030,S37000007,Female,,3316,,257,,490,,390,,1228,,571,,205,,127,,48,
20241001,11221,S08000030,S37000007,All,d,6376,,518,,1029,,734,,2264,,1153,,368,,236,,74,
20241001,11289,S08000030,S37000007,Male,,4779,,218,,436,,588,,1686,,1160,,415,,210,,66,
20241001,11289,S08000030,S37000007,Female,,4715,,213,,439,,621,,1543,,1028,,462,,288,,121,
20241001,11289,S08000030,S37000007,All,d,9494,,431,,875,,1209,,3229,,2188,,877,,498,,187,
20241001,11306,S08000030,S37000007,Male,,4445,,121,,442,,507,,958,,1296,,583,,409,,129,
20241001,11306,S08000030,S37000007,Female,,4921,,136,,430,,494,,963,,1382,,647,,569,,300,
20241001,11306,S08000030,S37000007,All,d,9366,,257,,872,,1001,,1921,,2678,,1230,,978,,429,
20241001,11363,S08000030,S37000007,Male,,5503,,185,,387,,947,,2275,,1057,,390,,203,,59,
20241001,11363,S08000030,S37000007,Female,,5302,,149,,383,,1361,,1780,,879,,391,,240,,119,
20241001,11363,S08000030,S37000007,All,d,10805,,334,,770,,2308,,4055,,1936,,781,,443,,178,
20241001,11382,S08000030,S37000007,Male,,4550,,209,,519,,582,,1414,,1141,,402,,230,,53,
20241001,11382,S08000030,S37000007,Female,,4326,,177,,479,,506,,1227,,1140,,416,,275,,106,
20241001,11382,S08000030,S37000007,All,d,8876,,386,,998,,1088,,2641,,2281,,818,,505,,159,
