Geography,total_staff,total_list_size,staff_per_100000
Clackmannanshire,32.0,37648,85.0
Dumfries and Galloway,145.0,156641,92.6
East Ayrshire,99.0,125656,78.8
East Lothian,139.0,121125,114.8
East Renfrewshire,78.0,102535,76.1
Eilean Siar,31.0,27077,114.5
Falkirk,137.0,152042,90.1
Fife,318.0,396470,80.2
Highland,333.0,248482,134.0
Inverclyde,67.0,81013,82.7
Midlothian,118.0,105260,112.1
Moray,99.0,96428,102.7
North Ayrshire,145.0,145566,99.6
Orkney Islands,43.0,22306,192.8
Perth and Kinross,170.0,155922,109.0
Scottish Borders,123.0,121720,101.1
Shetland Islands,26.0,22924,113.4
South Ayrshire,116.0,119303,97.2
South Lanarkshire,245.0,353071,69.4
Stirling,123.0,140638,87.5
Aberdeen City,244.0,276205,88.3
Aberdeenshire,210.0,246991,85.0
Argyll and Bute,121.0,90718,133.4
City of Edinburgh,650.0,615254,105.6
Renfrewshire,155.0,193401,80.1
West Dunbartonshire,101.0,96577,104.6
West Lothian,186.0,208355,89.3
Angus,98.0,114510,85.6
Dundee City,171.0,176417,96.9
North Lanarkshire,205.0,357913,57.3
East Dunbartonshire,110.0,112537,97.7
Glasgow City,644.0,797919,80.7
