Geography,AgeGroup,Count,Percent
Aberdeen City,Ages0to4,22484.0,4.072671943775246
Aberdeen City,Ages15to24,64094.0,11.609759631930732
Aberdeen City,Ages25to44,184364.0,33.395040483996596
Aberdeen City,Ages45to64,134564.0,24.374445269621607
Aberdeen City,Ages5to14,56274.0,10.193272592243737
Aberdeen City,Ages65to74,49356.0,8.940170630535983
Aberdeen City,Ages75to84,29872.0,5.41090803702429
Aberdeen City,Ages85plus,11062.0,2.0037314108718096
Aberdeenshire,Ages0to4,20310.0,4.111485843613735
Aberdeenshire,Ages15to24,49834.0,10.088221838042681
Aberdeenshire,Ages25to44,117382.0,23.76240429813232
Aberdeenshire,Ages45to64,141036.0,28.550837884781227
Aberdeenshire,Ages5to14,56576.0,11.453048896518496
Aberdeenshire,Ages65to74,58574.0,11.85751707552097
Aberdeenshire,Ages75to84,37864.0,7.66505662149633
Aberdeenshire,Ages85plus,12406.0,2.511427541894239
Angus,Ages0to4,8758.0,3.824120164177801
Angus,Ages15to24,23632.0,10.318749454196139
Angus,Ages25to44,53856.0,23.51585014409222
Angus,Ages45to64,62998.0,27.50764125403895
Angus,Ages5to14,23722.0,10.358047332110733
Angus,Ages65to74,28416.0,12.407649986900706
Angus,Ages75to84,20644.0,9.014059907431665
Angus,Ages85plus,6994.0,3.0538817570517858
Argyll and Bute,Ages0to4,6110.0,3.367578650322979
Argyll and Bute,Ages15to24,16728.0,9.219779977512733
Argyll and Bute,Ages25to44,40148.0,22.127912872858747
Argyll and Bute,Ages45to64,53186.0,29.313917855331905
Argyll and Bute,Ages5to14,16512.0,9.100729733900659
Argyll and Bute,Ages65to74,25674.0,14.150444233779405
Argyll and Bute,Ages75to84,17402.0,9.591260830265218
Argyll and Bute,Ages85plus,5676.0,3.1283758460283515
City of Edinburgh,Ages0to4,42596.0,3.4672275528842555
City of Edinburgh,Ages15to24,165388.0,13.46224599766225
City of Edinburgh,Ages25to44,464550.0,37.81342284938447
City of Edinburgh,Ages45to64,274058.0,22.307762435166524
City of Edinburgh,Ages5to14,106454.0,8.665138555609458
City of Edinburgh,Ages65to74,93224.0,7.588243529676069
City of Edinburgh,Ages75to84,58666.0,4.775292788466235
City of Edinburgh,Ages85plus,23596.0,1.9206662911507393
Clackmannanshire,Ages0to4,3022.0,4.013493412664683
Clackmannanshire,Ages15to24,8078.0,10.728325541861453
Clackmannanshire,Ages25to44,18806.0,24.976094347641308
Clackmannanshire,Ages45to64,21448.0,28.48491287717807
Clackmannanshire,Ages5to14,8090.0,10.744262643433915
Clackmannanshire,Ages65to74,8640.0,11.474713132171695
Clackmannanshire,Ages75to84,5550.0,7.370909477263068
Clackmannanshire,Ages85plus,1662.0,2.2072885677858056
Dumfries and Galloway,Ages0to4,11418.0,3.6446396537305046
Dumfries and Galloway,Ages15to24,30424.0,9.71137824707452
Dumfries and Galloway,Ages25to44,68732.0,21.939338998091177
Dumfries and Galloway,Ages45to64,88888.0,28.373159006901133
