Geography,Age_Group,Disease,2018,2019,2020,2021,2022,2023
Aberdeen City,Ages0to4,Asthma,47,59,50,15,30,40
Aberdeen City,Ages0to4,Atrial Fibrillation,0,0,0,0,0,0
Aberdeen City,Ages0to4,Cancer,0,0,0,5,0,5
Aberdeen City,Ages0to4,Chronic Kidney Disease (CKD),0,0,0,0,0,0
Aberdeen City,Ages0to4,Chronic Obstructive Pulmonary Disease (COPD),0,0,0,0,0,0
Aberdeen City,Ages0to4,Coronary Heart Disease (CHD),0,0,0,0,0,0
Aberdeen City,Ages0to4,Dementia,0,0,0,0,0,0
Aberdeen City,Ages0to4,Depression,0,0,0,0,0,0
Aberdeen City,Ages0to4,Diabetes,0,0,0,0,0,0
Aberdeen City,Ages0to4,Eating Disorder,0,0,0,0,0,0
Aberdeen City,Ages0to4,Epilepsy,0,0,5,5,10,10
Aberdeen City,Ages0to4,Heart Failure,0,0,0,0,0,0
Aberdeen City,Ages0to4,Hypertension,0,0,0,0,0,0
Aberdeen City,Ages0to4,Mental Health,0,0,0,0,0,0
Aberdeen City,Ages0to4,Osteoporosis,0,0,0,0,0,0
Aberdeen City,Ages0to4,Palliative Care,0,0,0,0,0,0
Aberdeen City,Ages0to4,Peripheral Arterial Disease (PAD),0,0,0,0,0,0
Aberdeen City,Ages0to4,Rheumatoid Arthritis,0,0,0,0,0,0
Aberdeen City,Ages0to4,Stroke and TIA,0,0,0,0,0,0
Aberdeen City,Ages15to24,Asthma,1150,1060,1122,987,901,880
Aberdeen City,Ages15to24,Atrial Fibrillation,0,0,0,0,0,0
Aberdeen City,Ages15to24,Cancer,15,15,25,20,15,10
Aberdeen City,Ages15to24,Chronic Kidney Disease (CKD),0,0,0,0,0,0
Aberdeen City,Ages15to24,Chronic Obstructive Pulmonary Disease (COPD),0,0,0,0,0,0
Aberdeen City,Ages15to24,Coronary Heart Disease (CHD),0,0,0,0,0,5
Aberdeen City,Ages15to24,Dementia,0,0,0,0,0,0
Aberdeen City,Ages15to24,Depression,712,657,594,574,567,462
Aberdeen City,Ages15to24,Diabetes,140,120,110,130,125,142
