Geography,Age_Group,Disease,2018,2019,2020,2021,2022,2023
Aberdeen City,Ages0to4,Asthma,209.0,262.4,222.4,66.7,133.4,177.9
Aberdeen City,Ages0to4,Atrial Fibrillation,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Cancer,0.0,0.0,0.0,22.2,0.0,22.2
Aberdeen City,Ages0to4,Chronic Kidney Disease (CKD),0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Chronic Obstructive Pulmonary Disease (COPD),0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Coronary Heart Disease (CHD),0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Dementia,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Depression,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Diabetes,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Eating Disorder,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Epilepsy,0.0,0.0,22.2,22.2,44.5,44.5
Aberdeen City,Ages0to4,Heart Failure,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Hypertension,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Mental Health,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Osteoporosis,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Palliative Care,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Peripheral Arterial Disease (PAD),0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Rheumatoid Arthritis,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages0to4,Stroke and TIA,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages15to24,Asthma,1794.2,1653.8,1750.6,1539.9,1405.7,1373.0
Aberdeen City,Ages15to24,Atrial Fibrillation,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages15to24,Cancer,23.4,23.4,39.0,31.2,23.4,15.6
Aberdeen City,Ages15to24,Chronic Kidney Disease (CKD),0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages15to24,Chronic Obstructive Pulmonary Disease (COPD),0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages15to24,Coronary Heart Disease (CHD),0.0,0.0,0.0,0.0,0.0,7.8
Aberdeen City,Ages15to24,Dementia,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages15to24,Depression,1110.9,1025.1,926.8,895.6,884.6,720.8
Aberdeen City,Ages15to24,Diabetes,218.4,187.2,171.6,202.8,195.0,221.5
Aberdeen City,Ages15to24,Eating Disorder,226.2,249.6,265.2,257.4,335.4,280.8
